timestamp,clase,confianza,x1,y1,x2,y2
2025-11-29 16:53:42,teclado,0.86,168,222,640,358
2025-11-29 16:53:42,televisor,0.71,168,1,638,106
2025-11-29 16:53:42,teléfono celular,0.47,566,385,639,478
2025-11-29 16:53:42,teclado,0.84,166,221,640,356
2025-11-29 16:53:42,televisor,0.77,163,1,638,104
2025-11-29 16:53:42,teléfono celular,0.42,563,383,639,478
2025-11-29 16:53:42,teclado,0.84,166,221,640,356
2025-11-29 16:53:42,televisor,0.77,163,1,638,104
2025-11-29 16:53:42,teléfono celular,0.42,563,383,639,478
2025-11-29 16:53:42,teclado,0.89,168,224,639,358
2025-11-29 16:53:42,televisor,0.68,167,1,638,107
2025-11-29 16:53:42,teléfono celular,0.45,567,385,639,478
2025-11-29 16:53:42,teclado,0.85,176,227,639,361
2025-11-29 16:53:42,televisor,0.71,174,1,638,108
2025-11-29 16:53:42,teléfono celular,0.49,571,387,639,477
2025-11-29 16:53:42,teclado,0.88,173,228,639,361
2025-11-29 16:53:42,televisor,0.65,175,1,640,121
2025-11-29 16:53:42,teléfono celular,0.53,569,389,639,477
2025-11-29 16:53:42,teclado,0.87,174,227,639,360
2025-11-29 16:53:42,televisor,0.64,176,1,640,119
2025-11-29 16:53:42,teléfono celular,0.50,570,389,639,478
2025-11-29 16:53:42,teclado,0.90,176,228,639,367
2025-11-29 16:53:42,televisor,0.74,177,0,639,117
2025-11-29 16:53:42,teclado,0.87,175,228,639,361
2025-11-29 16:53:42,teléfono celular,0.52,571,389,639,478
2025-11-29 16:53:42,televisor,0.51,175,1,640,112
2025-11-29 16:53:42,teclado,0.87,175,228,639,361
2025-11-29 16:53:42,teléfono celular,0.52,571,389,639,478
2025-11-29 16:53:42,televisor,0.51,175,1,640,112
2025-11-29 16:53:42,teclado,0.88,172,227,639,359
2025-11-29 16:53:42,televisor,0.60,175,1,638,107
2025-11-29 16:53:42,teléfono celular,0.53,573,388,639,478
2025-11-29 16:53:42,teclado,0.87,172,227,639,359
2025-11-29 16:53:42,televisor,0.72,173,0,639,111
2025-11-29 16:53:42,teléfono celular,0.61,573,388,639,478
2025-11-29 16:53:42,teclado,0.87,172,226,639,359
2025-11-29 16:53:42,televisor,0.57,172,0,639,113
2025-11-29 16:53:42,teléfono celular,0.51,572,387,639,478
2025-11-29 16:53:43,teclado,0.87,171,227,639,360
2025-11-29 16:53:43,teléfono celular,0.55,572,387,639,478
2025-11-29 16:53:43,televisor,0.55,174,0,640,108
2025-11-29 16:53:43,teclado,0.88,170,225,639,361
2025-11-29 16:53:43,teléfono celular,0.48,570,386,639,477
2025-11-29 16:53:43,televisor,0.45,172,1,612,105
2025-11-29 16:53:43,teclado,0.85,169,222,640,359
2025-11-29 16:53:43,televisor,0.47,167,0,638,107
2025-11-29 16:53:43,teléfono celular,0.42,569,384,639,478
2025-11-29 16:53:43,teclado,0.85,169,222,640,359
2025-11-29 16:53:43,televisor,0.47,167,0,638,107
2025-11-29 16:53:43,teléfono celular,0.42,569,384,639,478
2025-11-29 16:53:43,teclado,0.84,167,222,640,357
2025-11-29 16:53:43,televisor,0.63,164,0,638,105
2025-11-29 16:53:43,teléfono celular,0.47,565,381,639,478
2025-11-29 16:53:43,teclado,0.83,167,221,640,357
2025-11-29 16:53:43,televisor,0.62,164,1,638,103
2025-11-29 16:53:43,teléfono celular,0.46,565,381,639,478
2025-11-29 16:53:43,teclado,0.85,165,220,639,357
2025-11-29 16:53:43,televisor,0.66,162,0,638,106
2025-11-29 16:53:43,teléfono celular,0.46,563,380,639,478
2025-11-29 16:53:43,teclado,0.83,164,219,640,357
2025-11-29 16:53:43,televisor,0.68,156,0,639,106
2025-11-29 16:53:43,teléfono celular,0.43,562,380,639,478
2025-11-29 16:53:43,taza,0.39,117,89,298,203
2025-11-29 16:53:43,teclado,0.87,164,220,639,355
2025-11-29 16:53:43,televisor,0.62,153,0,640,107
2025-11-29 16:53:43,taza,0.46,113,89,296,203
2025-11-29 16:53:43,teléfono celular,0.39,559,379,639,478
2025-11-29 16:53:44,teclado,0.86,161,218,639,354
2025-11-29 16:53:44,televisor,0.77,152,0,639,105
2025-11-29 16:53:44,teléfono celular,0.64,557,378,639,478
2025-11-29 16:53:44,taza,0.43,111,89,293,203
2025-11-29 16:53:44,teclado,0.86,161,218,639,354
2025-11-29 16:53:44,televisor,0.77,152,0,639,105
2025-11-29 16:53:44,teléfono celular,0.64,557,378,639,478
2025-11-29 16:53:44,taza,0.43,111,89,293,203
2025-11-29 16:53:44,teclado,0.84,162,219,639,354
2025-11-29 16:53:44,televisor,0.68,151,0,640,108
2025-11-29 16:53:44,teléfono celular,0.57,555,379,639,478
2025-11-29 16:53:44,taza,0.41,113,90,294,203
2025-11-29 16:53:44,teclado,0.85,161,220,639,354
2025-11-29 16:53:44,televisor,0.66,151,0,640,108
2025-11-29 16:53:44,teléfono celular,0.52,555,379,639,479
2025-11-29 16:53:44,taza,0.38,113,90,293,204
2025-11-29 16:53:44,teclado,0.79,142,213,639,351
2025-11-29 16:53:44,televisor,0.54,140,2,639,104
2025-11-29 16:53:44,teléfono celular,0.41,549,372,639,477
2025-11-29 16:53:44,teclado,0.72,127,208,640,350
2025-11-29 16:53:44,teléfono celular,0.51,536,365,639,475
2025-11-29 16:53:44,televisor,0.42,130,0,638,101
2025-11-29 16:53:44,teclado,0.90,124,205,640,346
2025-11-29 16:53:44,teléfono celular,0.66,518,357,639,479
2025-11-29 16:53:44,televisor,0.65,109,0,639,94
2025-11-29 16:53:44,teclado,0.90,124,205,640,346
2025-11-29 16:53:44,teléfono celular,0.66,518,357,639,479
2025-11-29 16:53:44,televisor,0.65,109,0,639,94
2025-11-29 16:53:44,teclado,0.90,125,206,639,345
2025-11-29 16:53:44,teléfono celular,0.74,514,355,639,478
2025-11-29 16:53:44,portátil,0.54,110,1,636,92
2025-11-29 16:53:44,televisor,0.51,109,0,638,91
2025-11-29 16:53:44,teclado,0.90,125,206,639,344
2025-11-29 16:53:44,teléfono celular,0.85,516,356,639,476
2025-11-29 16:53:44,televisor,0.47,112,0,638,97
2025-11-29 16:53:44,portátil,0.44,113,2,636,92
2025-11-29 16:53:45,teclado,0.88,125,206,639,345
2025-11-29 16:53:45,teléfono celular,0.81,521,357,639,477
2025-11-29 16:53:45,televisor,0.38,113,0,638,106
2025-11-29 16:53:45,portátil,0.36,114,3,636,91
2025-11-29 16:53:45,teclado,0.83,120,209,640,350
2025-11-29 16:53:45,teléfono celular,0.52,517,359,639,477
2025-11-29 16:53:45,televisor,0.38,114,0,638,103
2025-11-29 16:53:45,teclado,0.83,106,207,639,349
2025-11-29 16:53:45,teléfono celular,0.58,512,357,639,476
2025-11-29 16:53:45,televisor,0.58,101,0,639,101
2025-11-29 16:53:45,portátil,0.40,99,1,637,97
2025-11-29 16:53:45,teclado,0.86,50,181,638,335
2025-11-29 16:53:45,teclado,0.56,0,5,635,178
2025-11-29 16:53:45,teclado,0.79,0,0,640,170
2025-11-29 16:53:46,teclado,0.72,0,1,639,160
2025-11-29 16:53:46,teléfono celular,0.68,162,143,508,477
2025-11-29 16:53:46,teclado,0.78,0,0,632,130
2025-11-29 16:53:46,teléfono celular,0.42,132,126,510,475
2025-11-29 16:53:46,teclado,0.78,0,0,632,130
2025-11-29 16:53:46,teléfono celular,0.42,132,126,510,475
2025-11-29 16:53:46,teléfono celular,0.89,89,85,539,473
2025-11-29 16:53:46,manzana,0.48,163,250,359,371
2025-11-29 16:53:46,manzana,0.46,92,223,245,318
2025-11-29 16:53:46,manzana,0.40,255,218,418,319
2025-11-29 16:53:47,manzana,0.48,163,250,359,371
2025-11-29 16:53:47,manzana,0.46,92,223,245,318
2025-11-29 16:53:47,manzana,0.40,255,218,418,319
2025-11-29 16:53:47,manzana,0.42,81,220,235,316
2025-11-29 16:53:47,manzana,0.41,245,216,411,315
2025-11-29 16:53:47,manzana,0.40,153,248,353,368
2025-11-29 16:53:47,manzana,0.61,152,242,348,360
2025-11-29 16:53:47,manzana,0.54,83,214,236,309
2025-11-29 16:53:47,manzana,0.52,246,210,406,310
2025-11-29 16:53:47,manzana,0.52,264,213,419,309
